,City,Site_Name,Collection_Date,MeV_gc_g_dry_weight,MeV_gc_g_dry_weight_UCI,MeV_gc_g_dry_weight_LCI
4207,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-16,0.0,0.0,0.0
4208,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-19,0.0,0.0,0.0
4209,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-21,0.0,0.0,0.0
4210,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-22,0.0,0.0,0.0
4211,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-26,0.0,0.0,0.0
4212,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-28,0.0,0.0,0.0
4213,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-30,0.0,0.0,0.0
4214,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-02,0.0,0.0,0.0
4215,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-04,0.0,0.0,0.0
4216,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-06,0.0,0.0,0.0
4217,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-09,0.0,0.0,0.0
4218,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-11,0.0,0.0,0.0
4219,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-13,0.0,0.0,0.0
4220,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-16,0.0,0.0,0.0
4221,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-18,0.0,0.0,0.0
4536,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-16,0.0,0.0,0.0
4537,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-19,0.0,0.0,0.0
4538,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-21,0.0,0.0,0.0
4539,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-23,0.0,0.0,0.0
4540,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-26,0.0,0.0,0.0
4541,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-28,0.0,0.0,0.0
